Alabama, AL, Ala
Alaska, AK, Alaska
Arizona, AZ, Ariz
Arkansas, AR, Ark
California, CA, Calif
Colorado, CO, Colo
Connecticut, CT, Conn
Delaware, DE, Del
DC, D.C.
Florida, FL, Fla
Hawaii, HI, Hawaii
Idaho, ID, Idaho
Illinois, IL, Ill
Indiana, IN, Ind
Iowa, IA, Iowa
Kansas, KS, Kans
Kentucky, KY, Ky
Louisiana, LA, La
Maine, ME, Maine
Maryland, MD, Md
Massachusetts, MA, Mass
Michigan, MI, Mich
Minnesota, MN, Minn
Mississippi, MS, Miss
Missouri, MO, Mo
Montana, MT, Mon
Nebraska, NE, Nebr
Nevada, NV, Nev
New Hampshire, NH, N.H.
New Jersey, NJ, N.J.
New Mexico, NM, N. Mex.
New York, NY, N.Y.
North Carolina, NC, N.C.
North Dakota, ND, N. Dak.
Ohio, OH, Ohio
Oklahoma, OK, Okla
Oregon, OR, Oreg
Pennsylvania, Penn, PA, Pa
Rhode Island, RI, R.I.
South Carolina, SC, S.C.
South Dakota, SD, S. Dak.
Tennessee, TN, Tenn
Texas, TX, Tex
Utah, UT, Utah
Vermont, VT, Vt
Virginia, VA, Va
West Virginia, WV, W. Va.
Wisconsin, WI, Wis
Wyoming, WY, Wyo
